iter	Passed	Remaining
0	10	10462
1	24	12141
2	37	12301
3	57	14356
4	69	13874
5	87	14422
6	100	14239
7	112	13979
8	126	13943
9	144	14267
10	155	13942
11	170	14061
12	185	14065
13	203	14329
14	223	14667
15	238	14648
16	255	14791
17	272	14887
18	289	14950
19	308	15139
20	328	15301
21	342	15224
22	357	15198
23	367	14941
24	390	15246
25	400	15008
26	425	15316
27	449	15593
28	452	15166
29	456	14748
30	469	14687
31	474	14344
32	480	14076
33	486	13829
34	490	13521
35	494	13235
36	517	13478
37	538	13628
38	553	13639
39	564	13544
40	580	13579
41	587	13401
42	612	13639
43	625	13593
44	645	13688
45	664	13788
46	678	13747
47	695	13789
48	716	13905
49	739	14045
50	758	14119
51	767	13987
52	772	13803
53	775	13593
54	782	13450
55	792	13352
56	796	13185
57	804	13060
58	817	13043
59	823	12894
60	832	12810
61	841	12729
62	847	12610
63	855	12507
64	859	12361
65	872	12352
66	875	12198
67	879	12051
68	887	11971
69	901	11977
70	922	12070
71	944	12169
72	952	12100
73	974	12196
74	993	12248
75	1004	12207
76	1011	12122
77	1018	12035
78	1025	11958
79	1034	11902
80	1041	11812
81	1050	11755
82	1058	11694
83	1066	11629
84	1074	11568
85	1083	11514
86	1089	11436
87	1098	11388
88	1106	11325
89	1114	11270
90	1122	11215
91	1127	11124
92	1136	11081
93	1143	11018
94	1154	10998
95	1159	10916
96	1168	10877
97	1173	10803
98	1188	10815
99	1200	10804
100	1209	10761
101	1220	10746
102	1233	10744
103	1242	10703
104	1248	10641
105	1260	10627
106	1266	10568
107	1275	10530
108	1281	10476
109	1288	10422
110	1295	10373
111	1300	10307
112	1310	10286
113	1315	10227
114	1325	10196
115	1331	10148
116	1339	10111
117	1352	10110
118	1362	10086
119	1368	10037
120	1378	10015
121	1384	9966
122	1388	9898
123	1391	9833
124	1395	9771
125	1400	9714
126	1403	9648
127	1406	9580
128	1409	9517
129	1412	9452
130	1415	9391
131	1418	9329
132	1422	9270
133	1425	9209
134	1428	9150
135	1431	9094
136	1434	9034
137	1437	8976
138	1440	8925
139	1444	8870
140	1448	8822
141	1458	8811
142	1462	8763
143	1468	8727
144	1471	8678
145	1474	8623
146	1477	8571
147	1480	8520
148	1483	8473
149	1486	8425
150	1489	8375
151	1492	8325
152	1495	8277
153	1499	8236
154	1503	8193
155	1506	8149
156	1509	8103
157	1512	8062
158	1515	8017
159	1518	7973
160	1522	7932
161	1524	7888
162	1527	7844
163	1530	7802
164	1533	7762
165	1536	7720
166	1540	7682
167	1543	7643
168	1546	7602
169	1549	7562
170	1551	7523
171	1555	7485
172	1557	7447
173	1560	7408
174	1563	7369
175	1565	7331
176	1568	7294
177	1571	7258
178	1575	7225
179	1578	7189
180	1580	7153
181	1584	7120
182	1587	7086
183	1590	7052
184	1593	7019
185	1596	6987
186	1599	6954
187	1602	6921
188	1606	6892
189	1608	6859
190	1611	6826
191	1615	6796
192	1617	6764
193	1620	6733
194	1624	6704
195	1626	6673
196	1630	6644
197	1633	6616
198	1636	6588
199	1639	6558
200	1643	6531
201	1646	6505
